zona,grupo_macro,subgrupo,columna_original,normalizado,campo_canonico,accion_guardado,destino_valor,destino_nombre,es_aporte_patronal,Santa Juana,San Pedro,JUNJI,Coronel,Lota,observaciones
descuentos,descuento,seguro,SEGURO DE VIDA CCAF LOS ANDE,SEGURO DE VIDA CCAF LOS ANDE,ccaf_los_andes_seguro_vida,guardar,ccaf_los_andes_seguro_vida,,No,,,,,74,
descuentos,descuento,seguro,SEGURO VIDA LOS ANDES,SEGURO VIDA LOS ANDES,ccaf_los_andes_seguro_vida,guardar,ccaf_los_andes_seguro_vida,,No,,,59,,,
descuentos,descuento,salud_complementaria,SERBIMA,SERBIMA,serbima,guardar,serbima,,No,,67,,,,
descuentos,descuento,gremial,SUTE,SUTE,sute,guardar,sute,,No,,,,90,73,
descuentos,descuento,patronal,Seg.Cesantia (Emp),SEG CESANTIA EMP,aporte_patronal_seguro_cesantia,guardar,aporte_patronal_seguro_cesantia,,Sí,72,66,,56,54,
descuentos,descuento,patronal,Seg.Inv.Sob.(Emp),SEG INV SOB EMP,aporte_patronal_seguro_invalidez_sobrevivencia,guardar,aporte_patronal_seguro_invalidez_sobrevivencia,,Sí,62,63,35,54,52,
descuentos,descuento,cesantia,Seguro de Cesantía,SEGURO DE CESANTIA,seguro_cesantia_trabajador,guardar,seguro_cesantia_trabajador,,No,69,53,,53,49,
descuentos,descuento,seguro,Seguros Vida Security,SEGUROS VIDA SECURITY,security_seguro_vida,guardar,security_seguro_vida,,No,57,60,,,,
descuentos,descuento,salud_complementaria,Serbima,SERBIMA,serbima,guardar,serbima,,No,71,,54,85,,
descuentos,descuento,gremial,Sindicato Sedimc,SINDICATO SEDIMC,sindicato_sedimc,guardar,sindicato_sedimc,,No,,,50,81,,
descuentos,descuento,gremial,VTF AFJICU,VTF AFJICU,vtf_afjicu,guardar,vtf_afjicu,,No,,,43,,,
descuentos,descuento,seguro,Zurich Chile Seguros,ZURICH CHILE SEGUROS,zurich_chile_seguros,guardar,zurich_chile_seguros,,No,59,61,,86,70,
descuentos,descuento,seguro,Zurich Chile Seguros S.A.,ZURICH CHILE SEGUROS S A,zurich_chile_seguros,guardar,zurich_chile_seguros,,No,,,55,,,
